participant,Practice,Block,taskNr,size1,size2,Position,orientation,method,estimateRatio-Percentage,time,ParticipantAngle,condition,totaltime,code
4,false,2,17,0.38,1.00,1,vertical,ratioPercentage,43,6.524597,166.7166,position1-vertical,6534.063,0.38
4,false,2,18,0.58,1.00,1,vertical,ratioPercentage,56,8.390808,167.2443,position1-vertical,8399.531,0.58
4,false,2,19,0.68,1.00,1,vertical,ratioPercentage,62,7.251465,167.5652,position1-vertical,7260.688,0.68
4,false,2,20,0.18,1.00,1,vertical,ratioPercentage,22,6.965759,167.5376,position1-vertical,6969.844,0.18
4,false,2,21,0.38,1.00,2,vertical,ratioPercentage,40,10.9588,172.6288,position2-vertical,10959.75,0.38
4,false,2,22,0.78,1.00,2,vertical,ratioPercentage,66,7.093872,172.7988,position2-vertical,7101.625,0.78
4,false,2,23,0.88,1.00,1,vertical,ratioPercentage,89,8.974792,167.5381,position1-vertical,8981,0.88
5,false,1,0,0.48,1.00,0,vertical,ratioPercentage,45,5.328546,89.79405,position0-vertical,5338.918,0.48
5,false,1,1,0.88,1.00,2,vertical,ratioPercentage,89,15.73729,171.4823,position2-vertical,16497.63,0.88
5,false,1,2,0.38,1.00,2,vertical,ratioPercentage,26,5.890636,171.629,position2-vertical,5897.797,0.38
5,false,1,3,0.88,1.00,0,vertical,ratioPercentage,90,14.91726,96.68935,position0-vertical,15615.51,0.88
5,false,1,4,0.18,1.00,1,vertical,ratioPercentage,15,7.112095,164.7005,position1-vertical,7483.723,0.18
5,false,1,5,0.18,1.00,2,vertical,ratioPercentage,18,11.70712,171.3288,position2-vertical,11717.24,0.18
5,false,1,6,0.18,1.00,0,vertical,ratioPercentage,18,19.10892,100.5083,position0-vertical,19335.13,0.18
5,false,1,7,0.68,1.00,1,vertical,ratioPercentage,72,31.19742,165.2477,position1-vertical,31666.28,0.68
5,false,1,8,0.48,1.00,1,vertical,ratioPercentage,44,24.61569,165.5592,position1-vertical,24618.27,0.48
5,false,1,9,0.28,1.00,2,vertical,ratioPercentage,29,20.74686,171.5505,position2-vertical,20753.39,0.28
5,false,1,10,0.78,1.00,0,vertical,ratioPercentage,79,12.403,99.93854,position0-vertical,12811.7,0.78
5,false,1,11,0.68,1.00,0,vertical,ratioPercentage,68,11.66422,99.2057,position0-vertical,11672.33,0.68
5,false,1,12,0.78,1.00,1,vertical,ratioPercentage,75,9.471695,165.1406,position1-vertical,9851.922,0.78
5,false,1,13,0.28,1.00,0,vertical,ratioPercentage,29,22.01228,99.47116,position0-vertical,22540.59,0.28
5,false,1,14,0.48,1.00,2,vertical,ratioPercentage,46,5.81189,171.4026,position2-vertical,6232.938,0.48
5,false,1,15,0.38,1.00,1,vertical,ratioPercentage,40,6.557556,165.2486,position1-vertical,6567.891,0.38
5,false,1,16,0.78,1.00,2,vertical,ratioPercentage,69,9.619186,171.5945,position2-vertical,9628.297,0.78
5,false,1,17,0.58,1.00,1,vertical,ratioPercentage,58,6.240814,165.6621,position1-vertical,6243.844,0.58
5,false,1,18,0.58,1.00,0,vertical,ratioPercentage,56,8.956818,100.7679,position0-vertical,9393.797,0.58
5,false,1,19,0.38,1.00,0,vertical,ratioPercentage,42,11.74078,100.8311,position0-vertical,11750.63,0.38
5,false,1,20,0.28,1.00,1,vertical,ratioPercentage,29,13.18976,166.1496,position1-vertical,13560.09,0.28
5,false,1,21,0.58,1.00,2,vertical,ratioPercentage,56,4.636261,171.9122,position2-vertical,4646.5,0.58
5,false,1,22,0.68,1.00,2,vertical,ratioPercentage,62,6.001465,171.9115,position2-vertical,6009.656,0.68
5,false,1,23,0.88,1.00,1,vertical,ratioPercentage,87,10.38907,166.2016,position1-vertical,10398.69,0.88
5,false,2,0,0.28,1.00,0,horizontal,ratioPercentage,25,8.187714,89.63079,position0-horizontal,8198.438,0.28
5,false,2,1,0.38,1.00,2,horizontal,ratioPercentage,37,10.21136,170.1524,position2-horizontal,10779.19,0.38
5,false,2,2,0.38,1.00,1,horizontal,ratioPercentage,42,6.366974,162.8351,position1-horizontal,6377.813,0.38
5,false,2,3,0.58,1.00,2,horizontal,ratioPercentage,55,6.825256,169.912,position2-horizontal,6836.063,0.58
5,false,2,4,0.38,1.00,0,horizontal,ratioPercentage,41,13.87958,90.04575,position0-horizontal,14565.47,0.38
